constituency,state,candidate_name,party,previous_vote_share,turnout,swing,margin_previous,incumbency,urban_rural_ratio,literacy_rate,population_density,num_candidates,alliance,winner
Hyderabad,Telangana,Madhavi Latha,BJP,32.45,45.1,5.8,0.0,0,0.92,83.2,3600,7,NDA,0
Secunderabad,Telangana,G Kishan Reddy,BJP,48.23,52.8,1.2,12.5,1,0.90,84.5,3400,6,NDA,1
Secunderabad,Telangana,Danam Nagender,INC,35.67,52.8,2.8,0.0,0,0.90,84.5,3400,6,INDIA,0
Thiruvananthapuram,Kerala,Shashi Tharoor,INC,45.23,68.5,-2.1,8.2,1,0.78,93.9,1500,6,INDIA,1
Thiruvananthapuram,Kerala,Rajeev Chandrasekhar,BJP,38.45,68.5,4.5,0.0,0,0.78,93.9,1500,6,NDA,0
Thiruvananthapuram,Kerala,Pannyan Raveendran,CPI,12.34,68.5,-1.2,0.0,0,0.78,93.9,1500,6,LDF,0
Wayanad,Kerala,Rahul Gandhi,INC,64.67,72.3,1.8,35.2,1,0.35,89.2,800,4,INDIA,1
Wayanad,Kerala,K Surendran,BJP,25.12,72.3,3.2,0.0,0,0.35,89.2,800,4,NDA,0
Guwahati,Assam,Bijuli Kalita Medhi,BJP,48.56,62.1,2.3,12.8,0,0.75,88.7,2100,6,NDA,1
Guwahati,Assam,Mira Borthakur Goswami,INC,35.23,62.1,-1.5,0.0,0,0.75,88.7,2100,6,INDIA,0
Chandigarh,Punjab,Sanjay Tandon,BJP,42.34,65.8,5.1,8.5,0,0.97,86.4,3800,7,NDA,1
Chandigarh,Punjab,Manish Tewari,INC,38.56,65.8,-0.8,0.0,0,0.97,86.4,3800,7,INDIA,0
Amritsar,Punjab,Taranjit Singh Sandhu,BJP,38.23,58.9,4.2,2.1,0,0.72,78.5,2200,8,NDA,1
Amritsar,Punjab,Kuldeep Dhaliwal,INC,36.12,58.9,1.5,0.0,0,0.72,78.5,2200,8,INDIA,0
Amritsar,Punjab,Laljit Singh Bhullar,AAP,18.45,58.9,-3.2,0.0,0,0.72,78.5,2200,8,Other,0
Shimla,Himachal Pradesh,Suresh Kashyap,BJP,52.34,68.2,3.1,16.5,1,0.55,83.6,1200,5,NDA,1
Shimla,Himachal Pradesh,Vinod Sultanpuri,INC,35.89,68.2,-2.4,0.0,0,0.55,83.6,1200,5,INDIA,0
Panaji,Goa,Shripad Naik,BJP,45.23,72.1,1.8,10.2,1,0.62,88.7,1800,6,NDA,1
Panaji,Goa,Viriato Fernandes,INC,35.12,72.1,2.5,0.0,0,0.62,88.7,1800,6,INDIA,0
Imphal,Manipur,Basanta Kumar Singh,BJP,42.34,78.5,3.8,5.2,0,0.55,79.2,1100,7,NDA,1
Imphal,Manipur,Angomcha Bimol Akoijam,INC,37.12,78.5,1.2,0.0,0,0.55,79.2,1100,7,INDIA,0
