constituency,state,candidate_name,party,previous_vote_share,turnout,swing,margin_previous,incumbency,urban_rural_ratio,literacy_rate,population_density,num_candidates,alliance,winner,election_year
Guwahati East,Assam,Siddhartha Bhattacharya,BJP,52.34,65.8,2.8,18.6,1,0.88,87.2,2100,6,NDA,1,2026
Guwahati East,Assam,Ramendra Narayan Kalita,INC,33.78,65.8,-1.5,0.0,0,0.88,87.2,2100,6,INDIA,0,2026
Dispur,Assam,Atul Bora,BJP,54.23,67.4,3.1,22.4,1,0.90,88.5,2300,5,NDA,1,2026
Dispur,Assam,Apurba Bhattacharjee,INC,32.45,67.4,-2.3,0.0,0,0.90,88.5,2300,5,INDIA,0,2026
Jorhat,Assam,Hitendra Nath Goswami,BJP,48.56,64.2,1.5,12.3,0,0.55,74.3,1100,7,NDA,1,2026
Jorhat,Assam,Sibamoni Bora,INC,36.23,64.2,-0.8,0.0,0,0.55,74.3,1100,7,INDIA,0,2026
Dibrugarh,Assam,Prasanta Phukan,BJP,51.34,66.8,2.4,16.2,1,0.62,76.8,1400,6,NDA,1,2026
Dibrugarh,Assam,Lurin Jyoti Gogoi,INC,35.12,66.8,1.2,0.0,0,0.62,76.8,1400,6,INDIA,0,2026
Silchar,Assam,Dilip Kumar Paul,BJP,49.78,63.5,3.5,14.5,1,0.68,75.2,1300,7,NDA,1,2026
Silchar,Assam,Sushmita Dev,INC,35.23,63.5,-0.8,0.0,0,0.68,75.2,1300,7,INDIA,0,2026
Mysuru Royal,Karnataka,Yatindra Siddaramaiah,INC,48.56,61.4,3.2,12.4,1,0.72,82.1,1800,6,INC-JDS,1,2026
Mysuru Royal,Karnataka,G T Devegowda,BJP,36.23,61.4,-2.1,0.0,0,0.72,82.1,1800,6,NDA,0,2026
Bengaluru South,Karnataka,Siddaramaih B S,INC,44.34,59.8,2.8,8.5,0,0.94,89.3,3800,7,INC-JDS,1,2026
Bengaluru South,Karnataka,Ramalinga Reddy,BJP,35.78,59.8,-1.5,0.0,0,0.94,89.3,3800,7,NDA,0,2026
Hubli Dharwad West,Karnataka,Jagadish Shettar,INC,46.23,60.2,4.8,9.6,0,0.68,76.4,1600,6,INC-JDS,1,2026
Hubli Dharwad West,Karnataka,Mahesh Tenginkai,BJP,36.56,60.2,-2.5,0.0,0,0.68,76.4,1600,6,NDA,0,2026
Mangaluru North,Karnataka,Mohiuddin Bawa,INC,42.45,63.7,3.5,8.2,0,0.80,87.2,2200,7,INC-JDS,1,2026
Mangaluru North,Karnataka,Capt. Brijesh Chowta,BJP,34.23,63.7,-0.8,0.0,0,0.80,87.2,2200,7,NDA,0,2026
Belagavi North,Karnataka,Lakshmi Hebbalkar,INC,50.12,62.4,2.5,16.8,1,0.60,73.5,1400,6,INC-JDS,1,2026
Belagavi North,Karnataka,Sanjay Patil,BJP,33.34,62.4,-1.8,0.0,0,0.60,73.5,1400,6,NDA,0,2026
Patna Sahib,Bihar,Nitin Naveen,BJP,52.34,57.8,2.1,18.4,0,0.78,71.4,2200,7,NDA,1,2026
Patna Sahib,Bihar,Shakeel Ahmad Khan,INC,35.12,57.8,-1.5,0.0,0,0.78,71.4,2200,7,INDIA,0,2026
Danapur,Bihar,Ritlal Yadav,RJD,48.23,59.4,3.2,12.5,1,0.65,66.8,1500,7,INDIA,1,2026
Danapur,Bihar,Sanjay Tiwari,BJP,36.78,59.4,-0.8,0.0,0,0.65,66.8,1500,7,NDA,0,2026
Muzaffarpur,Bihar,Suresh Sharma,BJP,50.45,56.3,1.8,16.2,1,0.55,63.2,1200,8,NDA,1,2026
Muzaffarpur,Bihar,Vikram Kumar,RJD,34.23,56.3,-2.4,0.0,0,0.55,63.2,1200,8,INDIA,0,2026
Gaya Town,Bihar,Prem Kumar,BJP,51.56,58.7,2.5,18.8,1,0.62,68.5,1400,6,NDA,1,2026
Gaya Town,Bihar,Kumari Anita,RJD,32.78,58.7,-1.8,0.0,0,0.62,68.5,1400,6,INDIA,0,2026
Ara,Bihar,Arun Kumar Sinha,BJP,48.34,57.1,2.8,14.3,0,0.52,62.4,1100,8,NDA,1,2026
Ara,Bihar,Kumar Sarvjeet,RJD,33.67,57.1,-1.2,0.0,0,0.52,62.4,1100,8,INDIA,0,2026
